BALB/c VS. BALB/c Foxn1nu/nu 															BALB/c +OVA VS. BALB/c Foxn1nu/nu 															BALB/c +OVA+anti-PD-1 antibody VS. BALB/c Foxn1nu/nu 													
id	num	neg|score	neg|p-value	neg|fdr	neg|rank	neg|goodsgrna	neg|lfc	pos|score	pos|p-value	pos|fdr	pos|rank	pos|goodsgrna	pos|lfc		id	num	neg|score	neg|p-value	neg|fdr	neg|rank	neg|goodsgrna	neg|lfc	pos|score	pos|p-value	pos|fdr	pos|rank	pos|goodsgrna	pos|lfc		id	num	neg|score	neg|p-value	neg|fdr	neg|rank	neg|goodsgrna	neg|lfc	pos|score	pos|p-value	pos|fdr	pos|rank	pos|goodsgrna	pos|lfc
DDX28	8	0.63881	0.74346	0.999905	46	1	0.19607	0.01492	0.034012	0.705742	4	2	0.19607		SSXB2	8	0.67039	0.73025	0.999585	46	1	-0.071154	0.45572	0.4559	0.999995	35	0	-0.071154		RHBDD1	8	0.49554	0.68316	0.997178	46	1	0.30457	0.0052169	0.017588	0.462604	3	3	0.30457
CLDN9	8	0.65095	0.74809	0.999905	47	1	0.51956	0.28266	0.29019	0.982822	25	1	0.51956		TEAD4	8	0.68159	0.73601	0.999585	47	1	0.26496	0.3542	0.35472	0.999995	25	1	0.26496		negCtrl_COL1A1	41	0.50682	0.86188	0.997178	47	12	0.15342	0.097738	0.30273	0.999995	14	6	0.15342
PRKCA	8	0.68525	0.76158	0.999905	48	1	-0.18221	0.98079	0.98063	0.999995	73	0	-0.18221		CLDN6	8	0.68525	0.73764	0.999585	48	1	0.38412	0.20429	0.22344	0.883104	21	1	0.38412		CLDN9	8	0.51181	0.6924	0.997178	48	1	0.6782	0.018194	0.050136	0.594468	7	3	0.6782
PRKACA	8	0.703	0.76904	0.999905	49	1	0.23201	0.62205	0.62259	0.999995	47	0	0.23201		PMS2	8	0.69953	0.74494	0.999585	49	1	-0.093586	0.90479	0.90572	0.999995	69	0	-0.093586		negCtrl_PPP1R12C	41	0.53111	0.87628	0.997178	49	8	0.028132	0.54235	0.7984	0.999995	41	5	0.028132
LOXL2	8	0.75407	0.79303	0.999905	50	1	-0.18044	0.95483	0.95509	0.999995	69	0	-0.18044		STAT2	8	0.703	0.74661	0.999585	50	1	-0.18154	0.0049953	0.013612	0.358934	3	1	-0.18154		SNRPN	8	0.53279	0.7051	0.997178	50	1	0.33481	0.60461	0.60694	0.999995	47	1	0.33481
FBXO41	8	0.76273	0.79787	0.999905	51	1	0.20528	0.8316	0.83148	0.999995	64	0	0.20528		SSXB5	8	0.70986	0.75037	0.999585	51	1	0.74607	0.02696	0.051914	0.615553	7	2	0.74607		ABCC1	8	0.57007	0.72813	0.997178	51	2	0.092091	0.082004	0.16335	0.999995	13	1	0.092091
DDX17	8	0.76836	0.80082	0.999905	52	1	0.077655	0.79974	0.7985	0.999995	61	0	0.077655		PRKCA	8	0.71657	0.75402	0.999585	52	1	-0.39195	0.84185	0.84262	0.999995	61	0	-0.39195		KDM2B	8	0.63051	0.76755	0.997178	52	2	-0.058961	0.96391	0.96401	0.999995	73	0	-0.058961
PRKAA1	8	0.78192	0.80839	0.999905	53	1	0.38353	0.25216	0.26461	0.982822	23	1	0.38353		ZFP423	8	0.71987	0.75568	0.999585	53	1	0.30923	0.31207	0.31559	0.999995	24	1	0.30923		LATS1	8	0.63214	0.7687	0.997178	53	2	0.42883	0.13861	0.2303	0.999995	18	2	0.42883
negCtrl_PPP1R12C	41	0.78216	0.9594	0.999905	54	5	0.079345	0.033118	0.11453	0.982822	6	6	0.079345		CCDC130	8	0.72959	0.76117	0.999585	54	1	0.059533	0.61342	0.61411	0.999995	42	0	0.059533		GNB5	8	0.65361	0.78374	0.997178	54	2	0.1655	0.044178	0.10279	0.808976	11	2	0.1655
STAT2	8	0.81627	0.82951	0.999905	55	1	0.13415	0.0049953	0.013652	0.542427	2	1	0.13415		TIGIT	8	0.75112	0.77388	0.999585	55	1	0.15348	0.68887	0.68859	0.999995	47	0	0.15348		ZFP423	8	0.66258	0.79002	0.997178	55	2	0.32402	0.26755	0.37665	0.999995	27	1	0.32402
